,Theme,Sub Theme,Feature Name,lat,lon
159,Leisure/Recreation,Outdoor Recreation Facility ,Melbourne Showgrounds,-37.7823097850883,144.910822117306
160,Place Of Assembly,Theatre Live,Comedy Theatre,-37.8102053945163,144.97013311862
161,Place Of Assembly,Theatre Live,La Mama Theatre,-37.7991304956733,144.967669503083
162,Place Of Assembly,Theatre Live,Forum Theatre,-37.816485409696,144.969386556998
163,Retail,Retail,"Melbourne Wholesale Fruit, Vegetable & Flower Market",-37.80687252157,144.923287444259
164,Retail,Retail,Melbourne Central,-37.8105371797142,144.962749729496
165,Leisure/Recreation,Informal Outdoor Facility ,Argyle Square,-37.8031480577285,144.965761295089
166,Leisure/Recreation,Informal Outdoor Facility ,Piazza Italia,-37.8025164192523,144.965863092947
167,Leisure/Recreation,Informal Outdoor Facility ,Murchinson Square,-37.8002735025371,144.973059252203
168,Place Of Assembly,Aquarium,Melbourne Aquarium,-37.8209627824685,144.958425696055
169,Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,-37.8242456858593,144.979720306309
170,Retail,Retail,Myer,-37.8135911985281,144.963855087868
171,Retail,Retail,David Jones,-37.8133127260638,144.964373486798
172,Retail,Retail,ANZ 'Gothic' Bank,-37.8161580666029,144.961673719242
